Year,Borough,CapRate,NYCcr
2014.76,BXcr,5.9,5.215
2014.76,BKcr,4.59,5.215
2013.01,QNcr,4.83,5.215
2013.01,MNcr,5.54,5.215
2013.01,BXcr,5.9,5.215
2013.01,BKcr,4.59,5.215
2014.8,QNcr,4.83,4.84875
2014.8,MNcr,5.54,4.84875
2014.8,BXcr,5.9,4.84875
2014.8,BKcr,4.59,4.84875
2014.84,QNcr,4.83,5.215
2014.84,MNcr,5.54,5.215
2014.84,BXcr,5.9,5.215
2014.84,BKcr,4.59,5.215
2014.98,QNcr,4.73,5.0649999999999995
2014.98,MNcr,5.26,5.0649999999999995
2014.98,BXcr,5.75,5.0649999999999995
2014.98,BKcr,4.52,5.0649999999999995
2013.09,QNcr,4.73,5.0649999999999995
2013.09,MNcr,5.26,5.0649999999999995
2013.09,BXcr,5.75,5.0649999999999995
2013.09,BKcr,4.52,5.0649999999999995
2015.03,QNcr,4.73,5.0649999999999995
2015.03,MNcr,5.26,5.0649999999999995
2015.03,BXcr,5.75,5.0649999999999995
2015.03,BKcr,4.52,5.0649999999999995
2015.07,QNcr,4.73,5.0649999999999995
2015.07,MNcr,5.26,5.0649999999999995
2015.07,BXcr,5.75,5.0649999999999995
2015.07,BKcr,4.52,5.0649999999999995
2015.21,QNcr,4.63,4.9475
2015.21,MNcr,5.06,4.9475
2015.21,BXcr,5.62,4.9475
2015.21,BKcr,4.48,4.9475
2013.26,QNcr,4.63,5.5875
2013.26,MNcr,5.06,5.5875
2013.26,BXcr,5.62,5.5875
2013.26,BKcr,4.48,5.5875
2015.25,QNcr,4.63,4.67125
2015.25,MNcr,5.06,4.67125
2015.25,BXcr,5.62,4.67125
2015.25,BKcr,4.48,4.67125
2015.29,QNcr,4.63,4.9475
2015.29,MNcr,5.06,4.9475
2015.29,BXcr,5.62,4.9475
2015.29,BKcr,4.48,4.9475
2015.43,QNcr,4.53,4.835
2015.43,MNcr,4.86,4.835
2015.43,BXcr,5.5,4.835
2015.43,BKcr,4.45,4.835
2013.45,QNcr,4.53,4.835
2013.45,MNcr,4.86,4.835
2013.45,BXcr,5.5,4.835
2013.45,BKcr,4.45,4.835
2015.48,QNcr,4.53,4.59875
2015.48,MNcr,4.86,4.59875
2015.48,BXcr,5.5,4.59875
2015.48,BKcr,4.45,4.59875
2015.52,QNcr,4.53,4.835
2015.52,MNcr,4.86,4.835
2015.52,BXcr,5.5,4.835
2015.52,BKcr,4.45,4.835
2015.66,QNcr,4.45,4.7375
2015.66,MNcr,4.7,4.7375
2015.66,BXcr,5.39,4.7375
2015.66,BKcr,4.41,4.7375
2013.67,QNcr,4.45,4.7375
2013.67,MNcr,4.7,4.7375
2013.67,BXcr,5.39,4.7375
2013.67,BKcr,4.41,4.7375
2015.71,QNcr,4.45,4.7375
2015.71,MNcr,4.7,4.7375
2015.71,BXcr,5.39,4.7375
2015.71,BKcr,4.41,4.7375
2015.74,QNcr,4.45,4.7375
2015.74,MNcr,4.7,4.7375
2015.74,BXcr,5.39,4.7375
2015.74,BKcr,4.41,4.7375
2015.95,QNcr,4.38,4.68
2015.95,MNcr,4.58,4.68
2015.95,BXcr,5.3,4.68
2015.95,BKcr,4.46,4.68
2013.89,QNcr,4.38,4.68
2013.89,MNcr,4.58,4.68
2013.89,BXcr,5.3,4.68
2013.89,BKcr,4.46,4.68
2015.93,QNcr,4.38,4.498749999999999
2015.93,MNcr,4.58,4.498749999999999
2015.93,BXcr,5.3,4.498749999999999
2015.93,BKcr,4.46,4.498749999999999
2015.97,QNcr,4.38,4.68
2015.97,MNcr,4.58,4.68
2015.97,BXcr,5.3,4.68
2015.97,BKcr,4.46,4.68
2016.18,QNcr,4.31,4.6225
2016.18,MNcr,4.5,4.6225
2016.18,BXcr,5.22,4.6225
2016.18,BKcr,4.46,4.6225
2014.12,QNcr,4.31,4.6225
2014.12,MNcr,4.5,4.6225
2014.12,BXcr,5.22,4.6225
2014.12,BKcr,4.46,4.6225
2016.16,QNcr,4.31,4.6225
2016.16,MNcr,4.5,4.6225
2016.16,BXcr,5.22,4.6225
2016.16,BKcr,4.46,4.6225
2016.2,QNcr,4.31,4.6225
2016.2,MNcr,4.5,4.6225
2016.2,BXcr,5.22,4.6225
2016.2,BKcr,4.46,4.6225
2016.4,QNcr,4.25,4.577500000000001
2016.4,MNcr,4.43,4.577500000000001
2016.4,BXcr,5.15,4.577500000000001
2016.4,BKcr,4.48,4.577500000000001
2014.35,QNcr,4.25,4.577500000000001
2014.35,MNcr,4.43,4.577500000000001
2014.35,BXcr,5.15,4.577500000000001
2014.35,BKcr,4.48,4.577500000000001
2016.38,QNcr,4.25,4.445
2016.38,MNcr,4.43,4.445
2016.38,BXcr,5.15,4.445
2016.38,BKcr,4.48,4.445
2016.42,QNcr,4.25,4.577500000000001
2016.42,MNcr,4.43,4.577500000000001
2016.42,BXcr,5.15,4.577500000000001
2016.42,BKcr,4.48,4.577500000000001
2016.63,QNcr,4.2,4.53
2016.63,MNcr,4.36,4.53
2016.63,BXcr,5.08,4.53
2016.63,BKcr,4.48,4.53
2014.57,QNcr,4.2,4.53
2014.57,MNcr,4.36,4.53
2014.57,BXcr,5.08,4.53
2014.57,BKcr,4.48,4.53
2016.61,QNcr,4.2,4.53
2016.61,MNcr,4.36,4.53
2016.61,BXcr,5.08,4.53
2016.61,BKcr,4.48,4.53
2016.65,QNcr,4.2,4.53
2016.65,MNcr,4.36,4.53
2016.65,BXcr,5.08,4.53
2016.65,BKcr,4.48,4.53
2016.85,QNcr,4.17,4.4825
2016.85,MNcr,4.3,4.4825
2016.85,BXcr,5.01,4.4825
2016.85,BKcr,4.45,4.4825
2014.8,QNcr,4.17,4.84875
2014.8,MNcr,4.3,4.84875
2014.8,BXcr,5.01,4.84875
2014.8,BKcr,4.45,4.84875
2016.83,QNcr,4.17,4.4125
2016.83,MNcr,4.3,4.4125
2016.83,BXcr,5.01,4.4125
2016.83,BKcr,4.45,4.4125
2016.87,QNcr,4.17,4.4825
2016.87,MNcr,4.3,4.4825
2016.87,BXcr,5.01,4.4825
2016.87,BKcr,4.45,4.4825
2017.08,QNcr,4.15,4.4350000000000005
2017.08,MNcr,4.25,4.4350000000000005
